experiment,trial,AUROC,AUPRC,AP@50,dataset,model,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize_args.weighted,entity_embedder.regularize_weight,relation_embedder.regularize_weight,entity_embedder.dropout,relation_embedder.dropout,job_type=1vsAll,job_type=KvsAll,job_type=negative_sampling,train.type=1vsAll,train.type=KvsAll,train.type=negative_sampling,train.optimizer=Adadelta,train.optimizer=Adam,train.optimizer=AdamW,train.optimizer=Adamax,train.optimizer=RMSprop,train.loss=bce,train.loss=kl,train.loss=se,lookup_embedder.initialize=normal_,lookup_embedder.initialize=uniform_,lookup_embedder.initialize=xavier_normal_,lookup_embedder.initialize=xavier_uniform_
20230929-111630-simple_selfloops,00090,0.947939654299895,0.9372819003253378,0.948595258312776,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0011033218928841,9,256,1,2.8310326759695896e-20,8.225190430432807e-19,0.1590542513877153,0.1711574816145002,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
20230929-111630-simple_selfloops,00097,0.5007439685407589,0.5044547032330777,0.2697053015694817,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0003061871488183,4,256,0,3.696079148662733e-05,3.2268728023200757e-06,0.3537286533974111,0.3422418432310223,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
20230929-111630-simple_selfloops,00063,0.8822893573826066,0.8626445400681944,0.8906542201300819,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.052758630386838,7,128,0,2.5910478277793568e-05,1.2339799465257875e-06,0.1469000377692282,0.4675789154134691,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
20230929-111630-simple_selfloops,00055,0.9019799688591508,0.899724646393675,0.9468921070369948,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.004797270706333,9,256,1,1.0871621255514292e-16,9.199639151377168e-17,0.3015764369629323,0.1399006559513509,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
20230929-111630-simple_selfloops,00052,0.9486813362459374,0.9381300479627764,0.9483542215164392,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0011033218928841,9,256,1,2.8310326759695896e-20,8.225190430432807e-19,0.1590542513877153,0.1711574816145002,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
20230929-111630-simple_selfloops,00099,0.499073885905066,0.5341692531840152,0.3001711112419191,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.2126069003499359,5,64,0,8.311537797750395e-14,5.8730685047846384e-08,0.39182900916785,0.2214791867882013,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
20230929-111630-simple_selfloops,00070,0.9707456799398948,0.9605093163157634,0.971791857748202,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0409918188207348,9,512,0,1.6420541957845776e-12,2.979453260981211e-10,0.3578871716745198,0.2050732360221445,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
20230929-111630-simple_selfloops,00084,0.4994193439315283,0.4504795938994055,0.0103212276406304,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0075492880848524,3,256,1,0.0198416437804614,3.389669259826264e-07,0.2852794439531863,0.0243869749829173,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
20230929-111630-simple_selfloops,00048,0.9585105916407176,0.9493040124895538,0.9711857971421416,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0166603621749078,4,128,0,0.0005648703551019,0.0063284234747291,0.2463100273162126,0.3734944369643926,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
20230929-111630-simple_selfloops,00083,0.8051644794305179,0.7567056473643616,0.6643605681737752,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.1567698932261722,9,32,0,3.2549420509386076e-16,2.300464503335089e-18,0.1190135460346937,0.3693933296017349,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
20230929-111630-simple_selfloops,00077,0.9303433162892624,0.9135160398214928,0.9228822641979164,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0859479172662006,4,512,1,5.758122052210114e-07,3.1560450748227085e-14,0.1626634551212191,0.2820204878225922,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00041,0.9482841342390342,0.9350382205528814,0.9447357587714024,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0645242395496189,3,512,0,8.713389860174171e-08,1.0977997031900182e-19,0.3735724533908069,0.0686199627816677,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
20230929-111630-simple_selfloops,00079,0.9399451528286272,0.917014515530034,0.8991683771442389,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0309816174550279,4,32,1,0.0001933576599018,0.0022406880193623,0.0383034329861402,0.1674366882070899,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
20230929-111630-simple_selfloops,00046,0.9696449567481312,0.959511520118826,0.9729515216137484,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0059105148572733,4,128,0,5.989437606034776e-11,1.129557901399145e-14,0.1226217513903975,0.2400214076042175,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
